ID_Robo,Fecha_Robo,Patente_Principal,SubTipo,Dirección_Robo,Latitud_Clean_Robo,Longitud_Clean_Robo,Marca_Detectada,Relato_Robo,ID_Hallazgo,Fecha_Hallazgo,Dirección_Hallazgo,Latitud_Clean_Hallazgo,Longitud_Clean_Hallazgo,Relato_Hallazgo,Horas_Hasta_Hallazgo,Dias_Hasta_Hallazgo
10015790413,2026-01-30 18:53:00,AC411UQ,VEHÍCULOS,MATHEU al 3137,-38.013477477111,-57.565810083203,OTRA / NO ESPECIFICADA,__LLAMANTE INFORMA QUE LE ROBARON LA CAMIONETA EN LA S CALLES SALTA Y VIEYTES__ES UNA AMAROK COLOR BEIGE PATENTE AC411UQ__ESTABA ESTACIONADA Y NO VIO CUANTAS PERSONAS FUERON ,10015792520,2026-01-31 01:41:00,PAULA ALBARRACIN y Ayacucho,-37.9679021672,-57.5864759157,"PREFECTURA CABO PRIMERO MARTINEZ MOVIL 850, A LA RECORRIDA AVISTAN UNA AMAROK PTTE AC411UQ MISMA POSEE PEDIDO DE SECUESTRO ACTIVO DEL DIA 30/01/2026 DE CRIA 2DA POR HURTO",6.8,0.2833333333333333
10015790805,2026-01-30 20:13:00,AC411UQ,VEHÍCULOS,MATHEU al 3137,-38.013477477111,-57.565810083203,OTRA / NO ESPECIFICADA,"INF CRIA 2DA SUB INSPECTOR MONTES SUSTRAEN MODALIDAD HURTO CAMIONETA MARCA VW MODELO AMAROK DOMINIO COLOCADO AC411UQ, AÑO 2018 DE COLOR BEIGE, PROPIETARIO FERRERA DANIEL FLORENCIO, DNI 8460907, TEL 2236877266 DOMICILIO MATHEU 3137 ",10015792520,2026-01-31 01:41:00,PAULA ALBARRACIN y Ayacucho,-37.9679021672,-57.5864759157,"PREFECTURA CABO PRIMERO MARTINEZ MOVIL 850, A LA RECORRIDA AVISTAN UNA AMAROK PTTE AC411UQ MISMA POSEE PEDIDO DE SECUESTRO ACTIVO DEL DIA 30/01/2026 DE CRIA 2DA POR HURTO",5.466666666666667,0.22777777777777777
10015791304,2026-01-30 21:44:00,JGS684,VEHÍCULOS,ZACAGNINI y Manuela Pedraza,-37.9560019984,-57.5415789992,OTRA / NO ESPECIFICADA,"INF CRIA SUSTRAEN MODALIDAD ROBO CALIFICADO VEHICULO VW MARCA SURAN MODELO AÑO NO APORTA COLOR GRIS DOMINIO COLOCADO JGS684, PROPIETARIO GUIRIOLA CARLOS ALBERTO DNI 5089237 TEL 1151226351 DOMICILIO AGUIRE 5033",10015791968,2026-01-31 00:02:00,ISLA DE LOS ESTADOS y Diagonal Atlantico Sur,-37.8969739984,-57.5392409992,"CARGA INVERSA DEL MOVIL 29019 REFIERE EN EL LUGAR DA CON EL VEHICULO SUSTRAIDO DE CRIA 7MA EL MISMO VW SURAN CON DOMINIO COLADO JGS684, EL MISMO SIN OCUPANTES",2.3,0.09583333333333333
10015828748,2026-02-07 10:02:00,A204LNW,MOTOS,LA PAMPA y San Martin,-37.9915849984,-57.5646929992,CORVEN,"LLAMANTE REFIERE QUE EN EL LUGAR LE ROBARON LA MOTO CORVEN 370 ESTABA ATADA AFUERA , REFIERE QUE DOMINIO A204LNW SE DIO CUENTA RECIEN , A LA MADRUGADA ESCUCHO RUIIDOS [Id.Remoto: 10015828748]",10015829430,2026-02-07 13:39:00,MISIONES y Alte Brown,-37.9937933175,-57.5692949157,MOVIL 33643 INFORMA QUE EN RECORRIDA VISUALIZA EL MOTOVEH CORVEN DOMINIO: A204LNW SUSTRAIDA DE LA PAMPA ENTRE RIVADAVIA Y SAN MARTIN A LAS 10:00HS APROX ,3.6166666666666667,0.15069444444444444
10015874192,2026-02-16 15:34:00,GOB780,VEHÍCULOS,CATAMARCA y Vieytes,-38.0177539985,-57.5687269992,HONDA,"ADELANTO CRIA 2DA OA GERVASIO  MANIFIESTA HONDA FIT GRISD OSCURO AÑO 2007 PTTE GOB780 COLOR GRIS OSCURO DAMBIFICADO DANIEL CROTTI TEL 223338528 MODALIDAD HURTO LA DOCUMENTACIONQ UEDO DENTRO DEL VEHICULO, HORARIO DEL HECHO ENTRE LAS 11.00 Y HORA ACTUAL ",10015878005,2026-02-17 10:58:00,CANADA y Av Colon,-37.9699189985,-57.6164479992,"HALLAZGO VEHICULAR, HONDA FIT COLOR GRIS TODO, DOMINIO COLOCADO IMG576, DOMINIO CON PEDIDO DE SECUESTRO GOB780, ROBO CRIA 2DA.-",19.4,0.8083333333333332
10015901598,2026-02-22 08:55:00,DDI085,VEHÍCULOS,BOLIVAR al 9309,-37.9685,-57.6168,CHEVROLET,LLAMANTE REFIERE QUE LE ACABAN DE ROBAR EL AUTO CHEVROLET CORSA COLOR VERDE. PATENTE *DDI085*. SE LO ROBARON DE LA PUERTA DE SU CASA.,10015902581,2026-02-22 14:34:00,AV JUAN B JUSTO y Av Fermin Errea,-37.9751159986,-57.6292159992,"LLAMANTE COMUNCIA QUE DEJARON EL AUTO CHEROLET CORSA COLRO VERDE DDI085 QUE LE ROBARON AL PRIMO, PUEDE HABER UNA PERSONA EN EL LUGAR__ESTAN LLENDO PARA EL LUGAR CON EL TIO EN UN AUTO BLÑANCO",5.65,0.2354166666666667
10015901598,2026-02-22 08:55:00,DDI085,VEHÍCULOS,BOLIVAR al 9309,-37.9685,-57.6168,CHEVROLET,LLAMANTE REFIERE QUE LE ACABAN DE ROBAR EL AUTO CHEVROLET CORSA COLOR VERDE. PATENTE *DDI085*. SE LO ROBARON DE LA PUERTA DE SU CASA.,10015903351,2026-02-22 17:40:00,MORENO al 10752,-37.960345302301,-57.630713795488,"LLAMANTE REFIERE QUE ENCONTRO EL VEHICULO QUE LE ROBARON HOY POR LA MAÑANA, EN ESTE MOMENTO  LO TIENE EN EL DOMICILIO DE SUS PADRES. EL LLAMANTE SE ESTA DIRIGIENDO AL LUGAR. EL AUTO ES UN CORSA VERDE 4 PUERTAS PATENTE DDI085. INDICA QUE FUE A LA COMISARIA A LEVANTAR LA DENUNCIA Y LE DIJERON QUE EL MOVIL TIENE QUE DIRIGIRSE AL DOMICILIO.",8.75,0.3645833333333333
10015909556,2026-02-23 23:33:00,OWL592,VEHÍCULOS,JULIAN AGUIRRE al 6950,-37.9470454929,-57.5658294212,OTRA / NO ESPECIFICADA,"LLAMANTE REFIERE QUE LE ROBARON SU VEHICULO EN LA PUERTA DE SU DOMICILIO. ES UNA ECO SPORT BLANCA PATENTE OWL592. NO SABE CUANTOS ERAN, ADVIRTIO EL ROBO AL SALIR A SACAR A SACAR LA BASURA. NO HAY HERIDOS. [Id.Remoto: 10015909556]",10016009128,2026-03-19 16:59:00,OLAZAR al 53,-38.000124069401,-57.59717380984,LLAMANTE REFIERE QUE HACE 20 DIAS LE ROBARON LA CAMIONETA.- AHORA LA ENCONTRO EN EL LUGAR.- ES UNA ECO SPORT BLANCO.- PATENTE OWL592,569.4333333333333,23.726388888888888
10015909556,2026-02-23 23:33:00,OWL592,VEHÍCULOS,JULIAN AGUIRRE al 6950,-37.9470454929,-57.5658294212,OTRA / NO ESPECIFICADA,"LLAMANTE REFIERE QUE LE ROBARON SU VEHICULO EN LA PUERTA DE SU DOMICILIO. ES UNA ECO SPORT BLANCA PATENTE OWL592. NO SABE CUANTOS ERAN, ADVIRTIO EL ROBO AL SALIR A SACAR A SACAR LA BASURA. NO HAY HERIDOS. [Id.Remoto: 10015909556]",10016043443,2026-03-28 15:48:00,AV JUAN B JUSTO y Av Jara,-38.0069223062,-57.5870688183,"LLAMANTE COMUNICA QUE HAY UNA ECO SPORT BLANCA, HACE UNOS DIAS QUE LA DEJARON AHI, PATENTE OWL592. EL QUE LA DEJO ERA EL SUPUESTO DUEÑO, QUE DIJO QUE LE HABIA ROBADO Y QUE REGRESABA Y AUN NO FUE A RETIRARLAS, HACE 10 DIAS ESTA AHI ",784.25,32.677083333333336
10015928854,2026-02-28 12:38:00,NVK082,VEHÍCULOS,LOPEZ DE GOMARA al 7213,-37.955984605745,-57.577051329085,FORD,"REFIERE QUE ANOCHE LE PEGARON CON UNA PISTOLA, LE ROBARON EN VIA PUBLICA, LE LASTIMARON UN DEDO __SE HIZO PRESENTE POLICIA, LO CURARON,  __SE LLEVARON FORD CUBA BLANCA, TITANIUM PATENTE NVK082",10015932987,2026-03-01 04:36:00,AV CONSTITUCION y Torres De Vera Y Aragon,-37.9569295252,-57.5706258692,"LLAMANTE REFIERE QUE ES EL OFL LESCANO FRANCO, DE FRANCO SERVICIO SE ENCUENTRA EN LA ESTACION DE SERVICIO CON  UNA FORD QUBA BLANCA DOMINIO NVK082 QUE FUERA SUSTRAIDA MAS TEMPRANO Y CON EL TITULAR DE LA MISMA  FRANCISCO MARTIN CACERES   QUE LA RECUPERA EN EL LUGAR ",15.966666666666667,0.6652777777777777
10015944516,2026-03-03 18:34:00,MTT650,VEHÍCULOS,MARCELO T DE ALVEAR al 3325,-38.0547,-57.5821,OTRA / NO ESPECIFICADA,"REFIERE QUE ,LE ROBAN EL AUTOA LA ESPOSA EN CALLE  PUAN Y CERCA DE  LA COSTA __PEUGEOT 208 BORDO PATENTE MTT650 ERAN 5 NN ARMADOS __ESTABAN EN OTRO AUTO __SE VAN PARA MARIO BRAVO Y DIAGONAL 59 Y GIANELLI __",10015944521,2026-03-03 18:35:00,GENOVA y Juramento,-38.0500019985,-57.5716539992,"LLAMANTE REFIERE QUE CREE QUE ROBARON UN AUTO, CHOCARON CONTRA UN BOLSON DE ARENA Y LO DEJARON AHI. ES UN PEUGEOT 208 ROJO DOMINIO MTT650, LOS OCUPANTES SALIERON CORRIENDO CON ARMAS DE FUEGO, ERAN 3 MASCULINOS, PARECIAN MENORES",0.016666666666666666,0.0006944444444444445
10015945060,2026-03-03 20:48:00,AG553HU,VEHÍCULOS,DAIREAUX al 757,-37.9625,-57.5652,OTRA / NO ESPECIFICADA,"LLAMANTE REFIERE QUE HAY GRITOS EN LA CASA DE UNOS VECINOS ,DICE QUE  LE ROBARON EL AUTO  . 3 MASCULINOS  NO SABE SI ESTABAN ARMADOS,  SE VAN POR DAIREAUX HACIA LIBERTAD.  SE LLEVAN UNA TAHOS GRIS ,  PATENTE AG553HU__NO HAY HERIDOS, LO TIRARON AL SUELO Y LE SACARON EL AUTO [Id.Remoto: 10015945060]",10015960488,2026-03-07 19:25:00,STROBEL y Av Schweitzer,-37.9475409985,-57.6068569992,PREFECTURA CABO PRIMERO DE SOUSA ANGEL  QTH STROBEL Y CAMPO 228 HALLARON UN AUTO VW TAOS UN DOMINIO COLOCADO DELANTERO PATENTE AG553HU COLOR GRIS PEDIDO SECUETRO DEL DIA 03/03/2026 ROBO AUTOMOTOR ,94.61666666666666,3.942361111111111
10015967408,2026-03-09 07:07:00,DBV127,VEHÍCULOS,12 DE OCTUBRE al 6801,-38.019727750286,-57.576637565149,FIAT,"LLAMANTE REFIERE QUE LE ROBARON EL AUTO FIAT UNO COLOR ROJO, CAPOT Y TECHO NEGRO. PATENTE DBV127. ",10015972427,2026-03-10 16:48:00,GRAL ROCA al 4898,-38.00053544533,-57.580369223528,____LLAMANTE REFIERE QUE ESTUVO VIENDO LA PUBLICACION DE UN AUTO ROBADO Y ESTA EN LA PUERTA DE LA CASA. ES UN FIAT UNO COLOR BORDO. PATENTE DBV127,33.68333333333333,1.403472222222222
10015968995,2026-03-09 17:30:00,AE406XP,VEHÍCULOS,RICARDO PALMA al 471,-37.966742316406,-57.563061184743,OTRA / NO ESPECIFICADA,LLAMANTE REFIERE QUE A SU MARIDO RECIEN LE ROBARON AUTO POLO NEGRO PATENTE AE406XP DOS EN UNA MOTO DE NEGRO SE FUERON POR JUANA PEÑA PARA TEJEDOR. NO ESTA HERIDO,10015969101,2026-03-09 18:02:00,JOSE INGENIEROS al 2370,-37.954114110616,-57.545890957791,"REFIERE QUE   DEJARON ABANDONADO UN VEHICULO  W POLO COLOR NEGRO, PATENTE AE406XP, IBA UN MASCULINO MANEJANDO, VIO QUE  FUE AL LUGAR OTRO MASCULINO EN UNA MOTO NEGRA  Y SE FUERON A MUY ALTA VELOCIDAD AMBOS MACULINOS EN LA MOTO.- ",0.5333333333333333,0.022222222222222223
10015989573,2026-03-14 21:06:00,RAP345,VEHÍCULOS,AV POLONIA y Azopardo,-38.0164679985,-57.5986039992,OTRA / NO ESPECIFICADA,"LLAMANTE REFIERE QUE LE ROBARON EL AUTO, LO DEJO ESTACIONADO FUERA DE LA CANCHA DE KIMBERLY GOL SL GRIS MODELO 94 PATENTE RAP345",10015989790,2026-03-14 22:07:00,JUAN DE DIOS FILIBERTO y Baigorrita,-38.0183,-57.6423,"LLAMANTE REFIERE QUE LE ROBARON UN AUTO GOL GL GRIS PATENTE RAP345 EN VERTIZ Y POLICIA HACE 2 HS.  INDICA QUE LO RECUPERARON DETRAS DEL CLUB KIMBERLEY, DENTRO DEL BARRIO. EL LLAMANTE FUE A BUSCARLO Y LO ESTAN LLEVANDO A SU DOMICILIO.",1.0166666666666666,0.042361111111111106
10015991256,2026-03-15 04:02:00,AC928UK,VEHÍCULOS,TEODORO BRONZINI y Avellaneda,-37.9943363029,-57.5881917216,FORD,"REFIERE QUE LE QUISIERON ROBAR, LE ROBARON EL AUTO, ERAN 3 MASCULINOS, ESTABAN ARMADOS, NO HAY HERIDOS, EL AUTO ES UNA FORD ECOSPORT AZUL PATENTE AC928UK, SE FUERON POR BRONZINI MANO HACIA COLON [Id.Remoto: 10015991256]",10015992659,2026-03-15 12:55:00,CALABRIA y Udine,-38.0311101854,-57.6002603787,"LLAMANTE COMUNCIA QUE HAY UNA CAMIONETA ESTACIONADA CON EL VIDRIO BAJO,  ES ECO SPORT AZUL PATENTE AC928UK __DESDE LA MAÑANA ESTA  AHI",8.883333333333333,0.37013888888888885
10016010041,2026-03-19 21:20:00,A279VFP,VEHICULAR,Santa Maria De Oro al 3826,-38.0875,-57.5504,MOTOMEL,"REFIERE QUE ROBARON UNA MOTO EL MOVIL FUE PERO NO APORTO LA PATENTE __ MOTOMEL PLUS COLOR ROJO PATENTE A279VFP__RECIEN LE DIJERON EN UN GRUPO DONDE INFORMAN LAS MOTOS ROBADA ,QUE LA DEJARON TIRADA EN EL BARRIO SANTA ROSA NO APORTA QTH EXACTO __ [Id.Remoto: 10016010041]",10016010041,2026-03-19 21:20:00,Santa Maria De Oro al 3826,-38.0875,-57.5504,"REFIERE QUE ROBARON UNA MOTO EL MOVIL FUE PERO NO APORTO LA PATENTE __ MOTOMEL PLUS COLOR ROJO PATENTE A279VFP__RECIEN LE DIJERON EN UN GRUPO DONDE INFORMAN LAS MOTOS ROBADA ,QUE LA DEJARON TIRADA EN EL BARRIO SANTA ROSA NO APORTA QTH EXACTO __ [Id.Remoto: 10016010041]",0.0,0.0
10016011101,2026-03-20 04:07:00,A128ZBC,MOTOS,BENITO LYNCH al 4950,-38.050532338527,-57.582930624034,CORVEN,"LLAMANTE REFIERE QUE ENTRANDO A SU CASA LE  ROBARON  LA MOTO 03 MASCULINOS TODOS ENCAPUCHADOS JOVENES ARMADOS  EN UNA MOTO CROSS, SE FUERON PARA MARIO BRAVO Y GIANELLI  LE ROBARON UNA  CORVEN MIRAGE CELESTE PATENTE A128ZBC ",10016011193,2026-03-20 05:07:00,OTRA,,,"LLAMANTE INFORMA  LE SUSTRAJERON  SU MOTO, ES UNA CORVEN MIRAGE COLOR CEL ESTE PTTE A128ZBC, AHORA REFIERE QUE SU HIJO ESTABA POR EL BARRIO NUEVO GLF Y LA VIO,  ESTA SIN PATTE__CONDUCIDA POR UN MASCULINO  NO SABE DESCRIPCIONES, NO SABE MAS DATOS ",1.0,0.041666666666666664
10016015963,2026-03-21 11:53:00,MIS269,VEHÍCULOS,AVELLANEDA y Catamarca,-38.0086189984,-57.5599379992,OTRA / NO ESPECIFICADA,"REFIERE QUE LE ROBARON EL AUTO, ES UN SUBARU OUT BACK, PATENTE MIS269, DE COLOR GRIS__LO DEJO ESTACIONADO ",10016016240,2026-03-21 13:25:00,PRIMERA JUNTA y Catamarca,-38.0107536316,-57.56457901,LLAMANTE REFIERE QUE DENUNCIO QUE LE HABIAN ROBADO CAMIONETA SUBARU OUTBACK GRIS PATENTE MIS269 REFIERE Y LA ENCONTRO INFORMA QUE LA HABIA ESTACIONADO EN EL OTRO LUGAR,1.5333333333333334,0.0638888888888889
10016019060,2026-03-22 03:55:00,GNC760,VEHÍCULOS,FALUCHO y Arenales,-38.0086529984,-57.5445009992,CHEVROLET,LLAMANTE REFIERE QUE EL AUTO DE SU AMIGO NO ESTA. ES UN CORSA CHEVROLET COLOR GRIS PATENTE GNC760. SALIERON Y YA NO ESTABA,10016021461,2026-03-22 19:18:00,GARAY y Olazabal,-38.0001259985,-57.5702109992,"LLAMANTE REFIERE QUE HOY POR LA MADRUGADA LE ROBARON SU VEHICULO, RADICO LA DENUNCIA. EN ESTE MOMENTO SU ESPOSO LO ENCONTRO EN GARAY CERCA DE OLAZABAL, ES UN CORSA PLATEADO PATENTE GNC760. NO HAY NADIE ALREDEDOR DEL VEHICULO, CREE QUE LO DEJARON ABANDONADO.",15.383333333333333,0.6409722222222222
10016028165,2026-03-24 16:30:00,FCB002,VEHÍCULOS,CORBETA URUGUAY al 3449,-38.0858,-57.5426,OTRA / NO ESPECIFICADA,LLAMANTE DICE QUE PERSONAS SE ROBARON UN  AUTO BORA COLOR NEGRO FCB002 DEL LUGAR NO VIERON HACIA DONDE ESCAPARON [Id.Remoto: 10016028165],10016029400,2026-03-24 21:54:00,HUGO DEL CARRIL y Nicolas Dazeo,-38.0054989987,-57.7054539993,"LLAMANTE REFEIE QUE VIERON UNA PUBLICACION DE UNA PERSOA A KA CUAL LE ROBARON SU AUTO BORA COLOR NEGRO LLANTAS NEGRAS PATENTE FCB002. REFIERE QUE EL MISMO ESTA EN EL LUGAR EN MENCION, REFIERE QUE ES EL MISMO AUTO Y MISMA PATENTE. APORTA TEL QUE APARECE EN LA PUBLICACION QUE SERIA DE LA PERSONA DUEÑA DEL AUTO:  2235635306 [Id.Remoto: 10016029400]",5.4,0.225
10016075937,2026-04-05 06:28:00,AH087BN,VEHÍCULOS,MEXICO y San Lorenzo,,,CITROEN,"INF PREFECTURA CENTENARIO SE ENTREVISTA CON EL SR LUCAS GASAL DNI 34437347, REFIERE QUE EN EL QTH APORTADO LE SUSTRAEN 3 SUJETOS ARMADOS VEHICULO CITROEN ARI CROSS AÑO 2025 DOMINIO COLOCADO AH087BN EL MISMO DE COLOR GRIS PLATA ",10016079839,2026-04-06 09:23:00,JUNCAL y Alberti,-37.9901679985,-57.5876419992,CARGA INVERSA__CABO 1RO LUBASEUSQUI DE PREFECTURA__INFORMA HALLAZGO DE CITROEN C3 AIRCORSS__COLOR GRIS__DOMINIO AH087BN__CON PEDDO DE SECUESTRO DEL DIA 5/4/2026,26.916666666666668,1.121527777777778
